# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (km),Position North of launch (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.5436,0,8.5436,0,0,0,0,0,0.0014911,43.796,-120.65,9.8008,89.99,0,0,0,34.989,8.7035,54.266,0.10337,NaN,2.509,NaN,0.0076084,544783,43.988,0,0.74082,0,0.54477,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0023574
2e-3,0,0,-6.0292,0,6.0292,0,0,0,0,0,0.0010523,43.796,-120.65,9.8008,89.99,0,0,0,34.989,8.7035,54.266,0.10337,NaN,2.509,NaN,0.0076212,545699,131.97,0,0.74063,0,0.54458,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0035523
4e-3,0,0,-3.5146,0,3.5146,0,0,0,0,0,6.1341e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.988,8.7025,54.266,0.10337,NaN,2.509,NaN,0.0076339,546614,219.94,0,0.74043,0,0.54439,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0049615
6e-3,0,0,-0.99985,0,0.99985,0,0,0,0,0,1.7451e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.987,8.7016,54.265,0.10337,NaN,2.5089,NaN,0.0076467,547530,307.92,0,0.74024,0,0.5442,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.006341
8e-3,0,0,1.515,0,1.515,0,0,0,0,0,2.6442e-4,43.796,-120.65,9.8008,89.99,0,0,0,34.986,8.7006,54.265,0.10337,NaN,2.5089,NaN,0.0076595,548445,395.9,0,0.74005,0,0.544,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0075848
0.01,0,0.0030306,4.0301,0.0030306,4.0301,0,0,0,0,5.2894e-7,7.0338e-4,43.796,-120.65,9.8008,89.922,0,0,0,34.985,8.6996,54.264,0.10337,NaN,2.5089,NaN,0.0076723,549361,483.87,0,0.73986,0,0.54381,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1903e-7,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.0088978
0.012,1.7152e-8,0.011091,6.5452,0.011091,6.5452,0,0,0,0,1.9358e-6,0.0011424,43.796,-120.65,9.8008,89.743,0,0,0,34.984,8.6986,54.264,0.10336,NaN,2.5089,NaN,0.0076852,550282,571.85,9.0826e-9,0.73967,1.6719e-7,0.54362,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1676e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.010475
0.014,5.2426e-8,0.024183,9.0605,0.024183,9.0605,0,0,0,0,4.2206e-6,0.0015814,43.796,-120.65,9.8008,89.453,0,0,0,34.983,8.6976,54.263,0.10336,NaN,2.5089,NaN,0.0076982,551217,659.83,8.7885e-8,0.73947,1.6123e-6,0.54343,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5457e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.01167
0.016,1.1891e-7,0.042304,11.576,0.042304,11.576,0,0,0,0,7.3835e-6,0.0020204,43.796,-120.65,9.8008,89.051,0,0,0,34.982,8.6967,54.263,0.10336,NaN,2.5089,NaN,0.0077117,552183,747.8,4.5679e-7,0.73927,8.3508e-6,0.54322,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4534e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.012777
0.018,2.2667e-7,0.065457,14.092,0.065457,14.092,0,0,0,0,1.1424e-5,0.0024594,43.796,-120.65,9.8008,88.54,0,0,0,34.981,8.6957,54.262,0.10336,NaN,2.5088,NaN,0.007726,553202,835.78,1.6612e-6,0.73906,3.0258e-5,0.54301,0.07604,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8907e-6,0.1397,0.015328,89.99,0,NaN,5.965,857.26,334.91,2e-3,0.014099
